Year,Month,FromKorea,FromKoreaToJapan,Prop
2019,5,2401204,603394,25.13%
2019,6,2495798,611867,24.52%
2019,7,2642585,561675,21.25%
2019,8,2427634,308730,12.72%
2019,9,2049830,201252,9.82%
2019,10,2153847,197281,9.16%
2019,11,2090192,205042,9.81%
2019,12,2342310,247959,10.59%
2020,1,2513030,316812,12.61%
2020,2,1046779,143900,13.75%
2020,3,143366,16669,11.63%
2020,4,31425,300,0.95%
2020,5,37801,20,0.05%
