Year,ID,National,Position,PY,WY,CE/PL/UPL,Sex,R&D/Non R&D,WP,Birth,SCHLafterEPY,School,CORE,LP,RCMD,Performance,EDU,EmployBenifits,Retention,Married,HP,Core,Jobtype,Fresh/Exprnc,Transferred,PromotionCandidate,Promotion,Incentive,Retire
2015,lg2903,1,P2,2,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T3,N,N,N,3,Master,N,N,4,Y,N,A,0,N,N,N,0,0
2015,lg2904,1,P2,3,7,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1978,N,T2,N,N,N,3,Master,N,N,1,N,N,A,0,N,N,N,0,0
2015,lg2905,1,P2,6,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1981,N,T3,N,N,N,5,Master,N,N,5,N,N,A,0,N,N,N,0,0
2015,lg2906,1,P2,2,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T3,N,N,N,1,Master,N,N,6,N,N,A,0,N,N,N,0,0
2015,lg2908,1,P3,3,6,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T1,N,N,N,5,Doctor,N,N,11,Y,N,A,0,N,N,N,0,0
2015,lg2839,1,P3,2,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T3,N,N,N,3,Doctor,N,Y,8,N,N,A,1,N,N,N,0,0
2015,lg2766,1,P2,2,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1976,N,T2,N,N,N,3,Master,N,Y,8,N,Y,A,1,N,N,N,0,0
2015,lg2910,1,P3,2,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,A,N,N,N,3,Master,Y,Y,0,Y,N,A,1,N,N,N,0,0
2015,lg2911,1,P2,3,5,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1984,N,A,N,N,N,3,Master,N,N,1,N,N,A,0,N,N,N,0,0
2015,lg2841,1,P2,1,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T4,N,N,N,4,Master,N,Y,0,Y,Y,A,1,N,N,N,0,0
2015,lg2912,1,P2,3,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T2,N,N,N,2,Master,N,N,2,N,N,A,0,N,N,N,0,0
2015,lg2913,1,P2,3,4,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1982,N,T2,N,N,N,4,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg2915,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1984,N,T2,N,N,N,3,Master,N,N,0,N,N,A,0,N,N,N,0,0
2015,lg2916,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1980,N,T3,N,N,N,2,Master,N,N,3,N,N,A,0,N,N,N,0,0
2015,lg2917,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1985,N,A,N,N,N,4,Bachelor,N,N,1,Y,N,A,0,N,N,N,0,0
2015,lg2770,1,P2,2,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1983,N,T2,N,N,N,3,Master,N,N,4,N,N,A,0,N,N,N,0,0
2015,lg2918,1,P2,4,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1981,N,T2,N,N,N,3,Master,N,N,2,N,N,A,1,N,N,N,0,0
2015,lg2919,1,P2,4,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1977,N,T1,N,N,N,3,Doctor,N,N,8,N,N,A,0,N,N,N,0,0
2015,lg2920,1,P2,3,3,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1983,N,T2,N,N,N,3,Master,Y,N,0,N,N,A,1,N,N,N,0,0
2015,lg3723,1,P2,1,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1984,N,T1,N,N,N,3,Master,N,N,1,N,N,A,0,N,N,N,0,0
2015,lg3724,1,P2,3,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1976,N,T1,N,N,N,3,Master,N,N,10,N,N,A,1,N,N,N,0,0
2015,lg3716,1,P2,1,2,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1981,N,T2,N,N,N,3,Master,N,N,8,N,N,A,0,N,N,N,0,0
2015,lg4379,1,P1,4,1,Current_employee,Female,R&D,Gasan R&D Campus(LGEKR),1982,N,T1,N,N,N,0,Master,N,N,0,N,N,A,0,N,N,N,1,0
2015,lg4375,1,P2,1,1,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T1,N,N,N,0,Doctor,N,N,4,N,N,A,0,N,N,N,0,0
2015,lg4785,1,P2,2,0,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1979,N,T4,N,N,N,0,Master,Y,N,5,N,N,A,1,N,N,N,0,0
2015,lg2850,1,p3.YW,12,26,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1963,N,T1,N,N,N,4,Master,N,N,26,Y,N,A,0,N,N,N,1,0
2015,lg2851,1,P3,10,24,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1964,N,T1,N,N,N,3,Master,N,N,21,N,N,A,0,N,N,N,1,0
2015,lg2857,1,P3,2,16,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1974,N,T1,N,N,N,3,Master,N,N,9,Y,N,A,0,N,N,N,0,0
2015,lg2858,1,P3,9,16,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1969,N,T1,N,N,N,3,Doctor,N,Y,22,N,N,A,0,N,N,N,1,0
2015,lg3059,1,P3,2,11,Current_employee,Male,R&D,Gasan R&D Campus(LGEKR),1978,N,T1,N,N,N,3,Master,N,Y,8,N,Y,A,0,N,N,N,0,0
