2010 Gangwon,2010 Gyeonggi,2010 Gyeongnam,2010 Gyeongbuk,2010 Gwangju,2010 Daegu,2010 Daejeon,2010 Busan,2010 Seoul,2010 Ulsan,2010 Incheon,2010 Jeonnam,2010 Jeonbuk,2010 Jeju,2010 Chungnam,2010 Chungbuk,2014 Gangwon,2014 Gyeonggi,2014 Gyeongnam,2014 Gyeongbuk,2014 Gwangju,2014 Daegu,2014 Daejeon,2014 Busan,2014 Seoul,2014 Sejong,2014 Ulsan,2014 Incheon,2014 Jeonnam,2014 Jeonbuk,2014 Jeju,2014 Chungnam,2014 Chungbuk,2018 Gangwon,2018 Gyeonggi,2018 Gyeongnam,2018 Gyeongbuk,2018 Gwangju,2018 Daegu,2018 Daejeon,2018 Busan,2018 Seoul,2018 Sejong,2018 Ulsan,2018 Incheon,2018 Jeonnam,2018 Jeonbuk,2018 Jeju,2018 Chungnam,2018 Chungbuk
0.005262135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002050511,0.042709002,0.337669053,1.091075727,0.016733172,0.000380492,10.76961119,0.01681099,0.022938778,10.6844021,0.002365856,0.496769127,0.206515745,0.049791481,0.007797815,0.000465464,0.04451084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003247327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001891289,0,0.045326768,0.332889095,1.164869665,0.016879593,0.003837043,10.63748217,0.01301453,0.01833656,10.54625651,3.42E-05,0.544936252,0.238618068,0.051420458,0.016625731,0.004055329,0,0.063573453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12.67013119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04314748,0.049955178,0,0.134024547,1.345148144,0.00813862,0.044159134,7.683703918,0.115953214,0.132412557,7.586276671,0.048542111,0.70675635,0.336052625,0.000444848,0.050463741,0.039620786,0,0,0.056104741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.138666488,0,0,0,0,0,0,0,0,0,0,0,0,0.274788458,0.281742192,0.10959724,0,2.001574761,0.162527659,0.27936072,3.19526893,0.418348103,0.448275446,3.070095558,0.277370686,1.256426037,0.742966283,0.09883476,0.293176403,0.268410126,0,0,0,0.132882986,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.810707001,0,0,0,0,0,0,0,0,0,0,0,0.927083845,1.057421411,0.854252498,1.206283544,0,0.942373319,0.879247796,12.49976164,1.182133917,1.224606278,12.58929867,1.064649966,0.158606615,0.283222053,0.88504702,0.71765927,0.870168343,0,0,0,0,0.245428254,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.389078383,0,0,0,0,0,0,0,0,0,0,0.016526908,0.017552446,0.007651588,0.19720005,1.307671267,0,0.018849825,8.746396712,0.061791267,0.073411507,8.647755549,0.016534971,0.660999894,0.305743576,0.009706007,0.030935325,0.016250764,0,0,0,0,0,0.007521394,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.491560489,0,0,0,0,0,0,0,0,0,0.000387168,0.004229844,0.044654305,0.346752513,1.052156328,0.019110271,0,10.90406018,0.018692346,0.024978497,10.82201943,0.004718952,0.471168077,0.190437283,0.052360365,0.004855869,0.000123524,0,0,0,0,0,0,0.06863662,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.879849355,0,0,0,0,0,0,0,0,1.323733477,1.462250805,0.909183113,0.596526656,1.439271321,1.127067047,1.282738801,0,1.787277324,1.868890446,0.024038023,1.461784864,1.350746457,1.109001792,0.910678712,1.131501465,1.255517629,0,0,0,0,0,0,0,1.031136896,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.032154109,0,0,0,0,0,0,0,0.014555957,0.012590636,0.102236989,0.478074247,1.023931466,0.057539265,0.015219342,12.3604886,0,0.000435478,12.2792889,0.013695809,0.44256102,0.187906884,0.112388119,0.025313958,0.017762823,0,0,0,0,0,0,0,0,0.250475951,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019559273,0.017489687,0.114912015,0.505849943,1.004028461,0.067345469,0.020037114,12.65828599,0.000428631,0,12.57868127,0.018773621,0.428735146,0.182646593,0.125742175,0.029790258,0.022985967,0,0,0,0,0,0,0,0,0,0.199200147,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.968825185,0,0,0,0,0,0,1.073276713,1.174522457,0.705400029,0.40235864,1.729244962,0.885334048,1.045901858,0.023727382,1.460027502,1.529637989,0,1.172366877,1.433542573,1.086661832,0.701214181,0.942938135,1.02203144,0,0,0,0,0,0,0,0,0,0,0.866572808,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.003723264,0,0,0,0,0,0.002198253,3.42E-05,0.04367023,0.32669544,1.177206283,0.015789793,0.00431203,10.55053399,0.014092198,0.019580259,10.45843043,0,0.553722136,0.243926541,0.049509934,0.017599616,0.004433794,0,0,0,0,0,0,0,0,0,0,0,0.0580943,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.049595643,0,0,0,0,0.397297262,0.457499205,0.50995408,1.07528835,0.145042331,0.490885519,0.372193978,16.26776268,0.451380797,0.460511592,16.28980334,0.463924512,0,0.041512018,0.539057043,0.295273072,0.374548088,0,0,0,0,0,0,0,0,0,0,0,0,0.039166982,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.616607336,0,0,0,0.200814122,0.245218356,0.292937325,0.781759626,0.318859374,0.272553263,0.1826793,14.62625936,0.245657288,0.254140913,14.61881302,0.249946543,0.050416008,0,0.315916988,0.128766897,0.184336557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282500374,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7.529465459,0,0,0.04937009,0.05485013,0.000443307,0.119935012,1.396691892,0.009956399,0.051087598,7.411510426,0.123742834,0.14059423,7.310675873,0.053195805,0.744351124,0.361159262,0,0.059582009,0.046277823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.516160555,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454339766,0,0.008607943,0.019863068,0.051859055,0.368568277,0.923939655,0.030834065,0.005266961,11.17785977,0.037406376,0.045169176,11.10721326,0.020889337,0.39145097,0.141340911,0.061456768,0,0.005158175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020645738,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002773371,0.000486783,0.004606807,0.040168786,0.333724586,1.063080392,0.016459653,0.000123945,10.73801195,0.021813467,0.02865566,10.65535523,0.005005375,0.479893008,0.194965765,0.047526604,0.004888379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080691841
0.075361663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043110128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047486279,0.035964474,0.235192998,0.460686762,0.129288494,0.071513044,0.043557349,0.206700231,0.122606376,0.048712247,0.034955554,0.620453633,0.778377505,1.048429611,0.009841005,0.057900749
0,0.045608925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077336881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073379307,0,0.016580696,0.105481204,0.43470295,0.066282024,0.005157881,0.000846579,0.086241169,0.082625914,0.004412106,0.001338186,0.542503001,0.676279019,0.85022071,0.020636981,0.008007193
0,0,9.259394235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057665628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042322122,0.015741264,0,0.095193007,0.614120989,0.032873284,0.037218211,0.009406467,0.162860781,0.16219424,0.004930808,0.0122686,0.760445226,0.924535418,1.089012624,0.017177508,0.044209542
0,0,0,0.492696501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149657872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308621528,0.102384791,0.106326516,0,0.909927002,0.039620971,0.105100385,0.097654869,0.174646524,0.328744703,0.081898534,0.120103031,0.997966357,1.147760813,1.121289818,0.193919931,0.14739411
